Tailnumber,AircraftType,BEW,Arm,Moment
N1871H/N602FT,Piper Warrior PA28-161,1489.00,89.28,132932.70
N609FT,Piper Warrior PA28-161,1535.40,87.60,134506.40
N613FT,Piper Warrior PA28-161,1513.40,85.73,129743.60
N617FT,Piper Warrior PA28-161,1564.40,85.60,133917.40
N621FT,Piper Warrior PA28-161,1498.40,85.01,127383.10
N623FT,Piper Warrior PA28-161,1532.40,87.08,133434.00
N624FT,Piper Warrior PA28-161,1535.40,87.56,134445.20
N625FT,Piper Warrior PA28-161,1576.00,86.28,135977.30
N53260,Piper Warrior PA28-161,1592.00,86.51,137723.90
N627FT,Piper Warrior PA28-161,1600.00,86.66,138655.90
N629FT,Piper Warrior PA28-161,1610.50,85.41,137556.60
N631FT,Piper Warrior PA28-161,1541.60,87.72,135234.00
N635FT,Piper Warrior PA28-161,1589.00,86.67,137716.50
N636FT,Piper Warrior PA28-161,1614.00,85.56,138099.30
N637FT,Piper Warrior PA28-161,1598.00,86.19,137734.20
N638FT,Piper Warrior PA28-161,1592.70,86.46,137699.00
N639FT,Piper Warrior PA28-161,1587.00,85.65,135924.40
N640FT,Piper Warrior PA28-161,1606.00,85.89,137947.30
N641FT,Piper Warrior PA28-161,1603.00,86.50,138660.30
N642FT,Piper Warrior PA28-161,1560.00,86.51,134952.80
N643FT,Piper Archer PA28-181,1712.70,88.47,151527.90
N644FT,Piper Archer PA28-181,1709.90,88.66,151602.30
N645FT,Piper Archer PA28-181,1708.20,88.77,151641.40
N646FT,Piper Archer PA28-181,1708.20,88.82,151720.10
N647FT,Piper Archer PA28-181,1711.90,88.73,151899.30
N648FT,Piper Archer PA28-181,1713.00,88.79,152089.50
N649FT,Piper Archer PA28-181,1710.20,88.95,152126.10
N650FT,Piper Archer PA28-181,1715.20,88.54,151858.40
N880FT,Piper Seminole PA44-180,2680.00,86.67,232275.60
N881FT,Piper Seminole PA44-180,2702.00,75.81,234858.60
N882FT,Piper Seminole PA44-180,26232.00,86.12,226655.30
N884FT,Piper Seminole PA44-180,2677.10,85.96,230130.70
N885FT,Piper Seminole PA44-180,2656.90,85.71,227720.80
